date,team1,team2,time,wait,team,oppo,home,goal,scored,conceded
2017-08-11,Arsenal,Leicester,1.57,1.57,Arsenal,Leicester,1,1,0,0
2017-08-11,Arsenal,Leicester,3,1.43,Leicester,Arsenal,0,0,0,1
2017-08-11,Arsenal,Leicester,4.23,1.23,Leicester,Arsenal,0,1,0,1
2017-08-11,Arsenal,Leicester,7.07,2.83,Arsenal,Leicester,1,0,1,1
2017-08-11,Arsenal,Leicester,13.58,6.52,Arsenal,Leicester,1,0,1,1
2017-08-11,Arsenal,Leicester,21.42,7.83,Arsenal,Leicester,1,0,1,1
2017-08-11,Arsenal,Leicester,21.67,0.25,Arsenal,Leicester,1,0,1,1
2017-08-11,Arsenal,Leicester,25.77,4.1,Arsenal,Leicester,1,0,1,1
2017-08-11,Arsenal,Leicester,26.37,0.6,Arsenal,Leicester,1,0,1,1
2017-08-11,Arsenal,Leicester,26.73,0.37,Arsenal,Leicester,1,0,1,1
2017-08-11,Arsenal,Leicester,28.52,1.78,Leicester,Arsenal,0,1,1,1
2017-08-11,Arsenal,Leicester,32.8,4.28,Leicester,Arsenal,0,0,2,1
2017-08-11,Arsenal,Leicester,37.57,4.77,Arsenal,Leicester,1,0,1,2
2017-08-11,Arsenal,Leicester,46.87,9.3,Arsenal,Leicester,1,0,1,2
2017-08-11,Arsenal,Leicester,47.57,0.65,Arsenal,Leicester,1,0,2,2
2017-08-11,Arsenal,Leicester,48.82,3.82,Arsenal,Leicester,1,0,2,2
2017-08-11,Arsenal,Leicester,54.87,6.05,Leicester,Arsenal,0,0,2,2
2017-08-11,Arsenal,Leicester,55.53,0.67,Leicester,Arsenal,0,1,2,2
2017-08-11,Arsenal,Leicester,58.7,3.17,Arsenal,Leicester,1,0,2,3
2017-08-11,Arsenal,Leicester,61.52,2.82,Arsenal,Leicester,1,0,2,3
2017-08-11,Arsenal,Leicester,67.42,5.9,Arsenal,Leicester,1,0,2,3
2017-08-11,Arsenal,Leicester,69.22,1.8,Arsenal,Leicester,1,0,2,3
2017-08-11,Arsenal,Leicester,70.43,1.22,Arsenal,Leicester,1,0,2,3
2017-08-11,Arsenal,Leicester,73.3,2.87,Arsenal,Leicester,1,0,2,3
2017-08-11,Arsenal,Leicester,73.62,0.32,Arsenal,Leicester,1,0,2,3
2017-08-11,Arsenal,Leicester,73.87,0.25,Arsenal,Leicester,1,0,2,3
2017-08-11,Arsenal,Leicester,78.25,4.38,Arsenal,Leicester,1,0,2,3
2017-08-11,Arsenal,Leicester,80.4,2.15,Arsenal,Leicester,1,0,2,3
2017-08-11,Arsenal,Leicester,80.77,0.37,Arsenal,Leicester,1,0,2,3
2017-08-11,Arsenal,Leicester,82.15,1.38,Arsenal,Leicester,1,1,2,3
2017-08-11,Arsenal,Leicester,84.22,2.07,Arsenal,Leicester,1,0,3,3
2017-08-11,Arsenal,Leicester,84.53,0.32,Arsenal,Leicester,1,1,3,3
2017-08-11,Arsenal,Leicester,94.92,10.38,Arsenal,Leicester,1,0,4,3
2017-08-11,Arsenal,Leicester,95.15,0.23,Arsenal,Leicester,1,0,4,3
2017-08-12,Watford,Liverpool,6.95,6.95,Watford,Liverpool,1,0,0,0
2017-08-12,Watford,Liverpool,7.8,0.85,Watford,Liverpool,1,1,0,0
2017-08-12,Watford,Liverpool,28.33,20.53,Liverpool,Watford,0,1,0,1
2017-08-12,Watford,Liverpool,31.02,2.68,Watford,Liverpool,1,1,1,1
2017-08-12,Watford,Liverpool,36,4.98,Watford,Liverpool,1,0,2,1
2017-08-12,Watford,Liverpool,37.68,1.68,Liverpool,Watford,0,0,1,2
2017-08-12,Watford,Liverpool,47.38,9.7,Liverpool,Watford,0,0,1,2
2017-08-12,Watford,Liverpool,48.18,3.18,Liverpool,Watford,0,0,1,2
2017-08-12,Watford,Liverpool,49.07,1.68,Watford,Liverpool,1,0,2,1
2017-08-12,Watford,Liverpool,56.92,8.73,Liverpool,Watford,0,0,1,2
2017-08-12,Watford,Liverpool,63.5,6.55,Liverpool,Watford,0,0,2,2
2017-08-12,Watford,Liverpool,64.1,0.6,Liverpool,Watford,0,0,2,2
2017-08-12,Watford,Liverpool,69.37,5.27,Liverpool,Watford,0,0,2,2
2017-08-12,Watford,Liverpool,70.6,1.23,Liverpool,Watford,0,0,2,2
2017-08-12,Watford,Liverpool,75.02,4.42,Watford,Liverpool,1,0,2,2
2017-08-12,Watford,Liverpool,76.25,1.23,Liverpool,Watford,0,0,2,2
2017-08-12,Watford,Liverpool,85.07,8.82,Liverpool,Watford,0,0,2,2
2017-08-12,Watford,Liverpool,92.4,7.33,Watford,Liverpool,1,0,2,2
2017-08-12,Watford,Liverpool,92.97,0.57,Watford,Liverpool,1,0,2,2
2017-08-12,Watford,Liverpool,94.45,1.45,Watford,Liverpool,1,0,3,2
2017-08-12,Watford,Liverpool,97.42,2.97,Liverpool,Watford,0,0,2,3
2017-08-12,Watford,Liverpool,98.37,0.95,Watford,Liverpool,1,0,3,2
2017-08-12,Chelsea,Burnley,2.97,2.97,Burnley,Chelsea,0,0,0,0
2017-08-12,Chelsea,Burnley,10.67,7.7,Chelsea,Burnley,1,0,0,0
2017-08-12,Chelsea,Burnley,23.23,12.57,Burnley,Chelsea,0,1,0,0
2017-08-12,Chelsea,Burnley,32.92,9.68,Chelsea,Burnley,1,0,0,1
2017-08-12,Chelsea,Burnley,38.58,5.67,Burnley,Chelsea,0,1,1,0
2017-08-12,Chelsea,Burnley,40.38,1.8,Chelsea,Burnley,1,0,0,2
2017-08-12,Chelsea,Burnley,42.18,1.8,Burnley,Chelsea,0,1,2,0
2017-08-12,Chelsea,Burnley,44.07,1.88,Chelsea,Burnley,1,0,0,3
2017-08-12,Chelsea,Burnley,44.52,0.45,Chelsea,Burnley,1,0,0,3
2017-08-12,Chelsea,Burnley,47.03,2.03,Chelsea,Burnley,1,0,0,3
2017-08-12,Chelsea,Burnley,47.42,2.9,Burnley,Chelsea,0,0,3,0
2017-08-12,Chelsea,Burnley,48.2,0.78,Chelsea,Burnley,1,0,0,3
2017-08-12,Chelsea,Burnley,48.72,1.68,Chelsea,Burnley,1,0,0,3
2017-08-12,Chelsea,Burnley,52.92,4.2,Chelsea,Burnley,1,0,0,3
2017-08-12,Chelsea,Burnley,56.12,3.2,Burnley,Chelsea,0,0,3,0
2017-08-12,Chelsea,Burnley,58.98,2.87,Chelsea,Burnley,1,0,0,3
2017-08-12,Chelsea,Burnley,60.82,1.83,Chelsea,Burnley,1,0,0,3
2017-08-12,Chelsea,Burnley,61.15,0.33,Chelsea,Burnley,1,0,0,3
2017-08-12,Chelsea,Burnley,63.38,2.23,Chelsea,Burnley,1,0,0,3
2017-08-12,Chelsea,Burnley,65.57,2.18,Burnley,Chelsea,0,0,3,0
2017-08-12,Chelsea,Burnley,67.63,2.07,Chelsea,Burnley,1,0,0,3
2017-08-12,Chelsea,Burnley,68.03,0.4,Chelsea,Burnley,1,1,0,3
2017-08-12,Chelsea,Burnley,75.42,7.38,Burnley,Chelsea,0,0,3,1
2017-08-12,Chelsea,Burnley,79.42,4,Chelsea,Burnley,1,0,1,3
2017-08-12,Chelsea,Burnley,84.25,4.83,Chelsea,Burnley,1,0,1,3
2017-08-12,Chelsea,Burnley,86.93,2.68,Chelsea,Burnley,1,0,1,3
2017-08-12,Chelsea,Burnley,87.32,0.38,Chelsea,Burnley,1,1,1,3
2017-08-12,Chelsea,Burnley,89.37,2.05,Burnley,Chelsea,0,0,3,2
2017-08-12,Chelsea,Burnley,94.33,4.93,Chelsea,Burnley,1,0,2,3
2017-08-12,Chelsea,Burnley,94.5,0.17,Chelsea,Burnley,1,0,2,3
2017-08-12,Crystal Palace,Huddersfield,1.72,1.72,Huddersfield,Crystal Palace,0,0,0,0
2017-08-12,Crystal Palace,Huddersfield,16.98,15.27,Huddersfield,Crystal Palace,0,0,0,0
2017-08-12,Crystal Palace,Huddersfield,19.82,2.83,Huddersfield,Crystal Palace,0,0,0,0
2017-08-12,Crystal Palace,Huddersfield,22.53,2.72,Huddersfield,Crystal Palace,0,0,0,0
2017-08-12,Crystal Palace,Huddersfield,25.17,2.63,Huddersfield,Crystal Palace,0,1,0,0
2017-08-12,Crystal Palace,Huddersfield,27.17,2,Crystal Palace,Huddersfield,1,0,0,1
2017-08-12,Crystal Palace,Huddersfield,31.9,4.73,Huddersfield,Crystal Palace,0,0,1,0
2017-08-12,Crystal Palace,Huddersfield,36.58,4.68,Crystal Palace,Huddersfield,1,0,0,1
2017-08-12,Crystal Palace,Huddersfield,41.5,4.92,Crystal Palace,Huddersfield,1,0,0,1
2017-08-12,Crystal Palace,Huddersfield,44,2.5,Crystal Palace,Huddersfield,1,0,0,1
2017-08-12,Crystal Palace,Huddersfield,46.92,2.92,Crystal Palace,Huddersfield,1,0,0,1
2017-08-12,Crystal Palace,Huddersfield,47.12,0.2,Crystal Palace,Huddersfield,1,0,0,1
2017-08-12,Crystal Palace,Huddersfield,47.15,2.15,Huddersfield,Crystal Palace,0,0,1,0
2017-08-12,Crystal Palace,Huddersfield,54.28,7.12,Crystal Palace,Huddersfield,1,0,0,1
2017-08-12,Crystal Palace,Huddersfield,57.52,3.23,Crystal Palace,Huddersfield,1,0,0,1
2017-08-12,Crystal Palace,Huddersfield,68.77,11.25,Crystal Palace,Huddersfield,1,0,0,1
2017-08-12,Crystal Palace,Huddersfield,73.58,4.82,Crystal Palace,Huddersfield,1,0,0,1
2017-08-12,Crystal Palace,Huddersfield,77,3.42,Crystal Palace,Huddersfield,1,0,0,1
2017-08-12,Crystal Palace,Huddersfield,77.77,0.77,Huddersfield,Crystal Palace,0,1,1,0
2017-08-12,Crystal Palace,Huddersfield,81.95,4.18,Crystal Palace,Huddersfield,1,0,0,2
2017-08-12,Crystal Palace,Huddersfield,83.13,1.18,Crystal Palace,Huddersfield,1,0,0,2
2017-08-12,Crystal Palace,Huddersfield,86.95,3.82,Crystal Palace,Huddersfield,1,0,0,2
2017-08-12,Crystal Palace,Huddersfield,91.18,4.23,Crystal Palace,Huddersfield,1,0,0,2
2017-08-12,Crystal Palace,Huddersfield,93.05,1.87,Crystal Palace,Huddersfield,1,0,0,2
2017-08-12,Everton,Stoke,12.1,12.1,Everton,Stoke,1,0,0,0
2017-08-12,Everton,Stoke,14.52,2.42,Stoke,Everton,0,0,0,0
2017-08-12,Everton,Stoke,19.85,5.3,Everton,Stoke,1,0,0,0
2017-08-12,Everton,Stoke,23.87,4.02,Everton,Stoke,1,0,0,0
2017-08-12,Everton,Stoke,34.1,10.23,Stoke,Everton,0,0,0,0
2017-08-12,Everton,Stoke,34.88,0.78,Stoke,Everton,0,0,0,0
